context,prompt,utterance
negative,I have had mostly bad experiences,Yes_comma_ many wonderful_comma_ some challenging_period_ Experiences also there where I was shut out_period_
negative,I was left out at school,At school_comma_ often felt left out_period_ Group projects_comma_ sports_comma_ parties _hyphen_ often not included_period
exploratory,Things got better but dating is still hard,Some things better_comma_ others not_period_ Dating life_comma_ for instance_comma_ still hard_period
negative,I do not want to talk,No_comma_ lets keep it for some other day_period_
negative,People just see my disability,People often overlook my individuality_comma_ just see the disability_period_
neutral,I want to assert my intelligence,My cognitive abilities are fully intact_comma_ you know_period_
negative,People do not understand me,There's a vast misunderstanding around people like me_period_
negative,It is hard to find love,It's tough finding love when you're differently_hyphen_abled_period_
negative,People assume my experiences are limited,People often assume my experiences are limited_period_
neutral,We all have unique experiences,That's an unfair assumption_comma_ Everyone's experiences are unique_period_
neutral,I can do most things, I am capable,I can do most things just like anyone_period_
neutral,Abilities differ among people,That's important to remember_comma_ Abilities differ amongst all people_period_
positive,I face challenges like everyone else,I have faced many challenges like everyone else_period_
neutral,Challenges shape but do not define us,Challenges shape us_comma_ they don't define us_period_
positive,I have dreams and purpose,I too have dreams_comma_ aspirations and a purpose_period_
neutral,Feeling tired after waking up,Woke up early today_comma_ feeling quite tired_period_
neutral,You had a late night, huh, You had a late night_comma_ huh_question_ Take it easy today_period_
neutral,Reflecting on life,I often reflect on the life I've built_period_
positive,Your hard work is inspiring,Your hard work and dedication definitely show_period_ It's inspiring_period_
neutral,My friend will visit before the snowstorm,My friend will visit before the snowstorm_period_
positive,It's good to have company in a storm,That's thoughtful_period_ It's good to have company in such weather_period_
neutral,Today is special for me,Today's special for me_comma_ it's a personal anniversary_period_
neutral,[B-PER] didn't share about new guy,[B-PER] didn't share about her new guy this time_period_
neutral,Maybe it bothers you when she does that,Maybe she sensed it bothers you when she does that_period_
positive,I care for her,I care for her_comma_ wouldn't want to see her hurt_period_
positive,That's thoughtful of you,That's very thoughtful of you_period_ It's good to look out for friends_period_
positive,Working with her was fun,Working with her was fun_comma_ felt like friends_period_
neutral,Strong connections form unexpectedly,Strong connections often form in unexpected places_period_
neutral,Yes, I agree,Yes_comma_ I agree_period_
negative,I loved her but needed to let go,I loved her but needed to let go_period_
positive,It's important to know when to move on,That's tough_comma_ but it's important to know when to move on_period_
neutral,She likes outdoor activities,She likes outdoor activities_comma_ things I can't do_period_
neutral,Differences can bring growth,Differences can be hard in relationships_comma_ but they can also bring growth_period_
neutral,Wishing my wheelchair was more capable,I wish my power wheelchair was more capable_period_
suggestion,Consider a track wheelchair,Have you considered getting a track wheelchair_question_ It could increase your mobility_period_
neutral,Yes, I understand,Yes_comma_ I understand_period_
negative,It's tough to find someone who values personality,It's tough to find someone who values personality over looks_period_
positive,True beauty is on the inside,You're right_comma_ true beauty is on the inside_period_ Your match will see that_period_
negative,Things didn’t work out with [B-PER],Things didn't work out as I'd hoped with [B-PER]_period_
neutral,Every experience teaches something,That can be hard_period_ But remember_comma_ every experience teaches us something_period_
positive,New perspectives from experiences,Yes_comma_ it does and gives us new perspective as well_period_
neutral,Sister texted about the storm,My sister [B-PER] texted_comma_ she's worried about the storm_period_
positive,It's good to have people care about safety,It's good that you have people who care about your safety_period_
neutral,Told sister about [B-PER]'s visit,Told her about [B-PER]'s visit_comma_ she seemed relieved_period_
positive,Sister trusts [B-PER],She must trust [B-PER]_period_ It's nice that she's stepping in to help_period_
neutral,[B-PER] remembers her from work,[B-PER] remembers [B-PER] from when she was my staff_period_
neutral,Staff-to-friend transition can be tricky,Transitioning from a staff to a friend can be tricky sometimes_period_
negative,Staff didn’t take storm seriously,My staff didn't take the storm news seriously_period_
neutral,Parents live in [B-LOC],They live in [B-LOC]_period_
neutral,Parents worried about storm,Parents texted from [B-LOC]_comma_ worried about the storm_period_
positive,Family's concern transcends distance,Family's concern transcends distance_period_ I'm sure their concern brings comfort_period_
positive,I assured them [B-PER] will be with me,I assured them [B-PER] will be with me_period_
positive,Parents appreciate [B-PER]'s presence,That's relieving for them_period_ They probably appreciate [B-PER]'s presence_period_
positive,Parents reminded me to reach out,They reminded me to reach out if I need anything_period_
neutral,Yes, I have a cat,Yes_comma_ I do have a cat named [B-PER]_period_
positive,The cat seems comforting,She seems like a comforting companion_period_ Does she sleep next to you_question_
positive,Cat settles down after play,Yes_comma_ she settles down next to me after some play_period_
positive,The cat is sweet,That sounds sweet_exclamation_ Pets really are a source of solace_period_
neutral,Excited for [B-PER]'s visit,I got excited thinking about [B-PER]'s visit_comma_ even scared [B-PER]_period_
positive,Anticipation can be powerful,Anticipation can be powerful_comma_ isn't it_question_ Poor [B-PER]_comma_ she must've been surprised_exclamation_
neutral,Started searching pick-up lines,I started searching pick-up lines to impress [B-PER]_period_
neutral,Did you find any good pick-up lines?,That sounds fun! Did you find any good pick-up lines_question_
neutral,It was late but I stayed awake,It was quite late_comma_ around 2:37 am_comma_ but I was still awake_period_
positive,I hope you managed to get sleep,I hope you managed to get some sleep eventually_period_
neutral,[B-PER] was confused, [B-PER] was there_comma_ seemingly confused about my late-night activities_period_
neutral,Pets can sense irregular routines,It's funny how pets can sense our irregular routines_period_
neutral,Shower time,Decided to take a shower considering [B-PER]'s early arrival_period_
positive,Smart move, Smart move_comma_ it would save you time in the morning_period_
neutral,[B-PER] likes being with me, [B-PER] accompanied me to the bathroom_comma_ she doesn't like being alone_period_
neutral,What does [B-PER] like to do?,What does [B-PER] likes to do_question_
positive,[B-PER] played with the bathmat,I saw [B-PER] playing with the bathmat while I showered_period_
positive,That's entertaining,That must be entertaining to watch_period_ She certainly keeps you company_period_
positive,[B-PER] kissed me,She came to give me a nose kiss_comma_ and then I started my shower_period_
positive,That's sweet,That's sweet of her_period_ It's clear she's fond of you_period_
neutral,After my shower, it was [B-PER]'s turn,After my shower_comma_ it was [B-PER]'s turn to get pampered_period_
neutral,Unique ritual after showering,Oh_comma_ so you both have a unique ritual after showering_question_
positive,[B-PER] loves the towel,Yes_comma_ she loves the feel of the bath towel_period_ It's small_comma_ but it makes her happy_period_
neutral,How patient is [B-PER]?,How patient is [B-PER]_question_
positive,She's very patient,She is patient_comma_ she always waits for me to open the door_period_
positive,[B-PER] is well-behaved,She sounds very well-behaved_period_ Must be comforting to have her around_period_
neutral,It was already 3:40 am,When I checked the time_comma_ it was already 3:40 am exclamation_
neutral,That's very late,That's very late period_ I hope you managed to get enough sleep period_
neutral,No pajamas and quick sleep,I didn't even bother putting on my pajamas period_ I fell asleep quickly period_
positive,After a long day, sleep comes easy,After a long day_comma_ sleep comes easy period_ That's good to hear period_
neutral,What happened after the snowstorm?,What happened the day after the snowstorm_question_
neutral,The snow started lightly, Woke up at 8 am and it's already snowing lightly period_
positive,Beautiful snow,That sounds beautiful period_ How's the temperature_question_
neutral,Cold outside, Cold outside period_ I quickly dressed up and checked emails period_
neutral,Is [B-PER] late?,The snowstorm seems to be getting worse period_ Is [B-PER] still not here_question_
positive,Turned on the fireplace,Yes_comma_ she's late period_ I've turned the fireplace on for warmth period_
neutral,Did [B-PER] manage to sleep?,Is [B-PER] with you by the fireplace question_ Did you manage to get some sleep question_
